shop,coffee,price,walkability,rating,review
Comet Coffee,Espresso,$$,High,4.8,"Great espresso, pastries, and a classic small downtown coffee experience."
Comet Coffee,Latte,$$,High,4.8,"Great espresso, pastries, and a classic small downtown coffee experience."
Comet Coffee,Cold Brew,$$,High,4.8,"Great espresso, pastries, and a classic small downtown coffee experience."
Comet Coffee,Drip,$$,High,4.8,"Great espresso, pastries, and a classic small downtown coffee experience."
Hyperion Coffee Co.,Espresso,$$,High,4.7,"Specialty coffee and excellent espresso in a modern downtown atmosphere."
Hyperion Coffee Co.,Latte,$$,High,4.7,"Specialty coffee and excellent espresso in a modern downtown atmosphere."
Hyperion Coffee Co.,Cold Brew,$$,High,4.7,"Specialty coffee and excellent espresso in a modern downtown atmosphere."
Hyperion Coffee Co.,Drip,$$,High,4.7,"Specialty coffee and excellent espresso in a modern downtown atmosphere."
RoosRoast Coffee,Espresso,$,Medium,4.6,"Local Ann Arbor favorite known for roasted coffee and a relaxed neighborhood atmosphere."
RoosRoast Coffee,Latte,$,Medium,4.6,"Local Ann Arbor favorite known for roasted coffee and a relaxed neighborhood atmosphere."
RoosRoast Coffee,Cold Brew,$,Medium,4.6,"Local Ann Arbor favorite known for roasted coffee and a relaxed neighborhood atmosphere."
RoosRoast Coffee,Drip,$,Medium,4.6,"Local Ann Arbor favorite known for roasted coffee and a relaxed neighborhood atmosphere."
Vertex Coffee Roasters,Espresso,$$,High,4.5,"Specialty coffee near campus with excellent espresso and convenient walkability."
Vertex Coffee Roasters,Latte,$$,High,4.5,"Specialty coffee near campus with excellent espresso and convenient walkability."
Vertex Coffee Roasters,Cold Brew,$$,High,4.5,"Specialty coffee near campus with excellent espresso and convenient walkability."
Vertex Coffee Roasters,Drip,$$,High,4.5,"Specialty coffee near campus with excellent espresso and convenient walkability."
M-36 Coffee Roasters,Espresso,$$,High,4.6,"Local roaster close to campus with specialty coffee and a comfortable study atmosphere."
M-36 Coffee Roasters,Latte,$$,High,4.6,"Local roaster close to campus with specialty coffee and a comfortable study atmosphere."
M-36 Coffee Roasters,Cold Brew,$$,High,4.6,"Local roaster close to campus with specialty coffee and a comfortable study atmosphere."
M-36 Coffee Roasters,Drip,$$,High,4.6,"Local roaster close to campus with specialty coffee and a comfortable study atmosphere."
Dozer Coffee,Espresso,$$,Medium,4.7,"Local roastery cafe with specialty coffee, food, and plenty of space to relax."
Dozer Coffee,Latte,$$,Medium,4.7,"Local roastery cafe with specialty coffee, food, and plenty of space to relax."
Dozer Coffee,Cold Brew,$$,Medium,4.7,"Local roastery cafe with specialty coffee, food, and plenty of space to relax."
Dozer Coffee,Drip,$$,Medium,4.7,"Local roastery cafe with specialty coffee, food, and plenty of space to relax."
Black Diesel Coffee,Espresso,$$,Medium,4.6,"Local specialty coffee shop with roasted coffee and a neighborhood atmosphere."
Black Diesel Coffee,Latte,$$,Medium,4.6,"Local specialty coffee shop with roasted coffee and a neighborhood atmosphere."
Black Diesel Coffee,Cold Brew,$$,Medium,4.6,"Local specialty coffee shop with roasted coffee and a neighborhood atmosphere."
Black Diesel Coffee,Drip,$$,Medium,4.6,"Local specialty coffee shop with roasted coffee and a neighborhood atmosphere."
The Common Cup,Espresso,$,High,4.5,"Affordable coffeehouse near campus with lots of seating and a relaxed study environment."
The Common Cup,Latte,$,High,4.5,"Affordable coffeehouse near campus with lots of seating and a relaxed study environment."
The Common Cup,Cold Brew,$,High,4.5,"Affordable coffeehouse near campus with lots of seating and a relaxed study environment."
The Common Cup,Drip,$,High,4.5,"Affordable coffeehouse near campus with lots of seating and a relaxed study environment."
Cahoots Cafe,Espresso,$$,High,4.5,"Downtown cafe serving Hyperion coffee with pastries, food, and a comfortable atmosphere."
Cahoots Cafe,Latte,$$,High,4.5,"Downtown cafe serving Hyperion coffee with pastries, food, and a comfortable atmosphere."
Cahoots Cafe,Cold Brew,$$,High,4.5,"Downtown cafe serving Hyperion coffee with pastries, food, and a comfortable atmosphere."
Cahoots Cafe,Drip,$$,High,4.5,"Downtown cafe serving Hyperion coffee with pastries, food, and a comfortable atmosphere."
Lab Cafe,Espresso,$$,High,4.5,"Creative downtown cafe known for specialty drinks and a modern atmosphere."
Lab Cafe,Latte,$$,High,4.5,"Creative downtown cafe known for specialty drinks and a modern atmosphere."
Lab Cafe,Cold Brew,$$,High,4.5,"Creative downtown cafe known for specialty drinks and a modern atmosphere."
Lab Cafe,Drip,$$,High,4.5,"Creative downtown cafe known for specialty drinks and a modern atmosphere."
Literati Coffee,Espresso,$$,High,4.4,"Downtown coffee shop located near the Literati bookstore with a relaxed atmosphere."
Literati Coffee,Latte,$$,High,4.4,"Downtown coffee shop located near the Literati bookstore with a relaxed atmosphere."
Literati Coffee,Cold Brew,$$,High,4.4,"Downtown coffee shop located near the Literati bookstore with a relaxed atmosphere."
Literati Coffee,Drip,$$,High,4.4,"Downtown coffee shop located near the Literati bookstore with a relaxed atmosphere."
Sweetwaters Coffee & Tea,Espresso,$$,High,4.4,"Popular Ann Arbor cafe with coffee, tea, food, and convenient downtown locations."
Sweetwaters Coffee & Tea,Latte,$$,High,4.4,"Popular Ann Arbor cafe with coffee, tea, food, and convenient downtown locations."
Sweetwaters Coffee & Tea,Cold Brew,$$,High,4.4,"Popular Ann Arbor cafe with coffee, tea, food, and convenient downtown locations."
Sweetwaters Coffee & Tea,Drip,$$,High,4.4,"Popular Ann Arbor cafe with coffee, tea, food, and convenient downtown locations."
Argus Farm Stop,Espresso,$$,Medium,4.5,"Local market and cafe featuring Michigan products and a comfortable place to stop for coffee."
Argus Farm Stop,Latte,$$,Medium,4.5,"Local market and cafe featuring Michigan products and a comfortable place to stop for coffee."
Argus Farm Stop,Cold Brew,$$,Medium,4.5,"Local market and cafe featuring Michigan products and a comfortable place to stop for coffee."
